meter_id,ts,kwh,version,flags
00FB86738B42,1767225600,0.283,1,0
00FB86738B42,1767229200,0.277,1,0
00FB86738B42,1767232800,0.260,1,0
00FB86738B42,1767236400,0.334,1,0
00FB86738B42,1767240000,0.328,1,0
00FB86738B42,1767243600,0.354,1,0
00FB86738B42,1767247200,0.428,1,0
00FB86738B42,1767250800,0.426,1,0
00FB86738B42,1767254400,0.544,1,0
00FB86738B42,1767258000,0.592,1,0
00FB86738B42,1767261600,0.624,1,0
00FB86738B42,1767265200,0.634,1,0
00FB86738B42,1767268800,0.718,1,0
00FB86738B42,1767272400,0.654,1,0
00FB86738B42,1767276000,0.702,1,0
00FB86738B42,1767279600,0.659,1,0
00FB86738B42,1767283200,0.640,1,0
00FB86738B42,1767286800,,1,2
00FB86738B42,1767290400,0.496,1,0
00FB86738B42,1767294000,0.468,1,0
00FB86738B42,1767297600,0.425,1,0
00FB86738B42,1767301200,0.333,1,0
00FB86738B42,1767304800,0.285,1,0
00FB86738B42,1767308400,0.269,1,0
00FB86738B42,1767312000,0.244,1,0
00FB86738B42,1767315600,0.264,1,0
00FB86738B42,1767319200,0.262,1,0
00FB86738B42,1767322800,0.265,1,0
00FB86738B42,1767326400,0.334,1,0
00FB86738B42,1767330000,0.400,1,0
00FB86738B42,1767333600,0.402,1,0
00FB86738B42,1767337200,0.492,1,0
00FB86738B42,1767340800,0.507,1,0
00FB86738B42,1767344400,0.567,1,0
00FB86738B42,1767348000,0.596,1,0
00FB86738B42,1767348000,0.606,2,0
00FB86738B42,1767351600,,1,2
00FB86738B42,1767355200,0.692,1,0
00FB86738B42,1767358800,0.732,1,0
00FB86738B42,1767362400,0.708,1,0
00FB86738B42,1767366000,0.610,1,0
00FB86738B42,1767369600,0.639,1,0
00FB86738B42,1767373200,0.580,1,0
00FB86738B42,1767376800,0.572,1,0
00FB86738B42,1767380400,0.461,1,0
00FB86738B42,1767384000,0.437,1,0
00FB86738B42,1767387600,0.394,1,0
00FB86738B42,1767391200,0.339,1,0
00FB86738B42,1767394800,0.298,1,0
00FB86738B42,1767398400,0.259,1,0
00FB86738B42,1767402000,0.248,1,0
00FB86738B42,1767405600,0.237,1,0
00FB86738B42,1767409200,0.273,1,0
00FB86738B42,1767412800,0.293,1,0
00FB86738B42,1767416400,0.331,1,0
00FB86738B42,1767420000,0.433,1,0
00FB86738B42,1767423600,0.449,1,0
00FB86738B42,1767427200,0.551,1,0
00FB86738B42,1767430800,0.614,1,0
00FB86738B42,1767434400,0.639,1,0
00FB86738B42,1767438000,0.647,1,0
00FB86738B42,1767441600,0.652,1,0
00FB86738B42,1767445200,0.665,1,0
00FB86738B42,1767448800,0.717,1,0
00FB86738B42,1767452400,,1,2
00FB86738B42,1767456000,,1,2
00FB86738B42,1767459600,0.611,1,0
00FB86738B42,1767463200,0.539,1,0
00FB86738B42,1767466800,0.445,1,0
00FB86738B42,1767470400,0.404,1,0
00FB86738B42,1767474000,0.343,1,0
00FB86738B42,1767477600,0.304,1,0
00FB86738B42,1767481200,0.288,1,0
00FB86738B42,1767484800,0.250,1,0
00FB86738B42,1767488400,0.216,1,0
00FB86738B42,1767492000,0.271,1,0
00FB86738B42,1767495600,,1,2
00FB86738B42,1767499200,0.314,1,0
00FB86738B42,1767502800,0.353,1,0
00FB86738B42,1767506400,0.425,1,0
00FB86738B42,1767510000,0.505,1,0
00FB86738B42,1767513600,,1,2
00FB86738B42,1767517200,0.596,1,0
00FB86738B42,1767520800,0.641,1,0
00FB86738B42,1767524400,0.667,1,0
00FB86738B42,1767528000,0.641,1,0
00FB86738B42,1767528000,0.651,2,0
00FB86738B42,1767531600,0.703,1,0
00FB86738B42,1767535200,0.631,1,0
00FB86738B42,1767538800,0.695,1,0
00FB86738B42,1767542400,0.643,1,0
00FB86738B42,1767546000,0.553,1,0
00FB86738B42,1767549600,0.525,1,0
00FB86738B42,1767553200,,1,2
00FB86738B42,1767556800,0.413,1,0
00FB86738B42,1767560400,0.355,1,0
00FB86738B42,1767564000,0.347,1,0
00FB86738B42,1767567600,0.308,1,0
00FB86738B42,1767571200,0.282,1,0
00FB86738B42,1767574800,0.255,1,0
00FB86738B42,1767578400,0.259,1,0
00FB86738B42,1767582000,0.262,1,0
00FB86738B42,1767585600,0.358,1,0
00FB86738B42,1767589200,0.334,1,0
00FB86738B42,1767592800,0.408,1,0
00FB86738B42,1767596400,0.464,1,0
00FB86738B42,1767600000,0.506,1,0
00FB86738B42,1767603600,0.563,1,0
00FB86738B42,1767607200,0.618,1,0
00FB86738B42,1767610800,0.671,1,0
00FB86738B42,1767614400,0.699,1,0
00FB86738B42,1767618000,0.706,1,0
00FB86738B42,1767621600,0.719,1,0
00FB86738B42,1767625200,,1,2
00FB86738B42,1767628800,0.668,1,0
00FB86738B42,1767632400,0.590,1,0
00FB86738B42,1767636000,0.483,1,0
00FB86738B42,1767639600,0.428,1,0
00FB86738B42,1767643200,0.397,1,0
00FB86738B42,1767646800,0.359,1,0
00FB86738B42,1767650400,0.273,1,0
00FB86738B42,1767650400,0.283,2,0
00FB86738B42,1767654000,0.317,1,0
00FB86738B42,1767657600,0.262,1,0
00FB86738B42,1767661200,0.262,1,0
00FB86738B42,1767664800,0.292,1,0
00FB86738B42,1767668400,0.265,1,0
00FB86738B42,1767672000,0.278,1,0
00FB86738B42,1767675600,0.348,1,0
00FB86738B42,1767679200,0.372,1,0
00FB86738B42,1767679200,0.382,2,0
00FB86738B42,1767682800,,1,2
00FB86738B42,1767686400,0.562,1,0
00FB86738B42,1767690000,0.593,1,0
00FB86738B42,1767693600,0.642,1,0
00FB86738B42,1767697200,0.665,1,0
00FB86738B42,1767700800,0.687,1,0
00FB86738B42,1767704400,0.690,1,0
00FB86738B42,1767708000,0.637,1,0
00FB86738B42,1767711600,,1,2
00FB86738B42,1767715200,,1,2
00FB86738B42,1767718800,0.540,1,0
00FB86738B42,1767722400,0.501,1,0
00FB86738B42,1767726000,0.460,1,0
00FB86738B42,1767729600,0.465,1,0
00FB86738B42,1767733200,0.382,1,0
00FB86738B42,1767736800,0.280,1,0
00FB86738B42,1767740400,0.301,1,0
00FB86738B42,1767744000,0.242,1,0
00FB86738B42,1767747600,0.288,1,0
00FB86738B42,1767751200,0.288,1,0
00FB86738B42,1767754800,0.254,1,0
00FB86738B42,1767758400,0.273,1,0
00FB86738B42,1767762000,0.356,1,0
00FB86738B42,1767765600,0.382,1,0
00FB86738B42,1767769200,0.512,1,0
00FB86738B42,1767769200,0.522,2,0
00FB86738B42,1767772800,0.518,1,0
00FB86738B42,1767776400,0.627,1,0
00FB86738B42,1767780000,0.591,1,0
00FB86738B42,1767783600,0.626,1,0
00FB86738B42,1767787200,0.705,1,0
00FB86738B42,1767790800,0.710,1,0
00FB86738B42,1767794400,0.713,1,0
00FB86738B42,1767798000,0.688,1,0
00FB86738B42,1767801600,0.667,1,0
00FB86738B42,1767805200,0.595,1,0
00FB86738B42,1767808800,,1,2
00FB86738B42,1767812400,0.497,1,0
00FB86738B42,1767816000,0.375,1,0
00FB86738B42,1767819600,0.324,1,0
00FB86738B42,1767823200,0.351,1,0
00FB86738B42,1767826800,0.316,1,0
00FB86738B42,1767830400,0.237,1,0
00FB86738B42,1767834000,0.253,1,0
00FB86738B42,1767837600,,1,2
00FB86738B42,1767841200,0.259,1,0
00FB86738B42,1767844800,0.296,1,0
00FB86738B42,1767848400,0.314,1,0
00FB86738B42,1767852000,0.394,1,0
00FB86738B42,1767855600,0.438,1,0
00FB86738B42,1767859200,0.488,1,0
00FB86738B42,1767862800,0.537,1,0
00FB86738B42,1767866400,0.625,1,0
00FB86738B42,1767870000,0.637,1,0
00FB86738B42,1767873600,0.664,1,0
00FB86738B42,1767877200,0.648,1,0
00FB86738B42,1767880800,0.681,1,0
00FB86738B42,1767884400,,1,2
00FB86738B42,1767888000,0.587,1,0
00FB86738B42,1767891600,0.548,1,0
00FB86738B42,1767895200,0.498,1,0
00FB86738B42,1767898800,0.505,1,0
00FB86738B42,1767902400,0.456,1,0
00FB86738B42,1767906000,0.329,1,0
00FB86738B42,1767909600,0.299,1,0
00FB86738B42,1767913200,0.306,1,0
00FB86738B42,1767916800,0.225,1,0
00FB86738B42,1767920400,0.224,1,0
00FB86738B42,1767924000,0.276,1,0
00FB86738B42,1767927600,0.329,1,0
00FB86738B42,1767931200,0.330,1,0
00FB86738B42,1767934800,0.396,1,0
00FB86738B42,1767938400,0.433,1,0
00FB86738B42,1767942000,0.503,1,0
00FB86738B42,1767945600,0.490,1,0
00FB86738B42,1767949200,0.620,1,0
00FB86738B42,1767952800,0.612,1,0
00FB86738B42,1767956400,0.657,1,0
00FB86738B42,1767960000,0.701,1,0
00FB86738B42,1767963600,0.642,1,0
00FB86738B42,1767967200,0.661,1,0
00FB86738B42,1767970800,0.672,1,0
00FB86738B42,1767974400,0.658,1,0
00FB86738B42,1767978000,0.536,1,0
00FB86738B42,1767978000,0.546,2,0
00FB86738B42,1767981600,0.550,1,0
00FB86738B42,1767985200,0.438,1,0
00FB86738B42,1767988800,0.450,1,0
00FB86738B42,1767992400,0.379,1,0
00FB86738B42,1767996000,0.272,1,0
00FB86738B42,1767999600,0.298,1,0
00FB86738B42,1768003200,0.244,1,0
00FB86738B42,1768003200,0.254,2,0
00FB86738B42,1768006800,0.285,1,0
00FB86738B42,1768010400,0.243,1,0
00FB86738B42,1768014000,0.313,1,0
00FB86738B42,1768017600,0.356,1,0
00FB86738B42,1768017600,0.366,2,0
00FB86738B42,1768021200,0.409,1,0
00FB86738B42,1768024800,0.389,1,0
00FB86738B42,1768028400,0.447,1,0
00FB86738B42,1768032000,,1,2
00FB86738B42,1768035600,0.588,1,0
00FB86738B42,1768039200,0.613,1,0
00FB86738B42,1768042800,,1,2
00FB86738B42,1768046400,0.652,1,0
